ticker,appearances,avg_score,linear_slope,linear_r2,score_std,score_cv,trend_consistency,avg_rank,stability_score,r2_adjusted_score,slope_adjusted_score,stability_adjusted_score,recommendation
STM,17,63.31,0.1532,0.748,0.87,0.014,0.12,354.88,73.58,47.37,56.03,30.0,HOLD - Modest potential
EXEL,17,100.45,0.0499,0.391,0.39,0.004,0.19,2.35,45.09,39.26,41.7,29.97,WATCH - Monitor for opportunity
ATKR,17,51.07,0.1095,0.822,0.59,0.012,0.12,570.12,76.0,41.98,47.59,29.9,WATCH - Monitor for opportunity
ZD,17,56.53,-0.0392,0.682,0.23,0.004,0.31,479.35,56.3,38.56,36.68,29.76,WATCH - Monitor for opportunity
SEIC,17,91.46,0.1295,0.526,0.87,0.01,0.12,19.12,67.32,48.1,55.62,29.67,WATCH - Monitor for opportunity
PH,17,69.93,0.1871,0.72,1.08,0.015,0.31,243.0,76.29,50.32,61.31,29.46,WATCH - Monitor for opportunity
GNRC,17,58.6,0.1946,0.836,1.04,0.018,0.62,439.76,85.8,48.99,60.05,29.4,WATCH - Monitor for opportunity
CEG,17,65.16,0.1932,0.765,1.08,0.017,0.12,325.29,73.79,49.85,61.04,29.32,WATCH - Monitor for opportunity
BLD,17,61.33,0.1288,0.721,0.74,0.012,0.06,392.53,71.66,44.21,51.09,29.31,WATCH - Monitor for opportunity
MTZ,17,49.6,0.0929,0.798,0.51,0.01,0.25,593.82,77.9,39.56,44.07,29.2,WATCH - Monitor for opportunity
IVZ,17,61.04,0.1629,0.764,0.91,0.015,0.38,397.71,78.93,46.65,55.66,29.1,WATCH - Monitor for opportunity
TDOC,17,46.48,0.1139,0.877,0.6,0.013,0.25,665.59,80.03,40.76,46.41,29.09,WATCH - Monitor for opportunity
VST,17,66.49,0.2171,0.773,1.21,0.018,0.25,302.06,76.36,51.38,64.1,29.01,WATCH - Monitor for opportunity
RCL,17,64.46,0.2423,0.816,1.31,0.02,0.31,336.06,78.7,52.62,66.86,28.9,WATCH - Monitor for opportunity
PLNT,17,74.22,0.1368,0.618,0.85,0.011,0.19,191.0,71.15,45.89,53.45,28.86,WATCH - Monitor for opportunity
MAT,17,57.53,0.0892,0.688,0.53,0.009,0.38,460.76,77.22,39.57,43.91,28.76,WATCH - Monitor for opportunity
FLR,17,66.62,0.1187,0.647,0.72,0.011,0.0,299.47,68.33,43.12,49.34,28.64,WATCH - Monitor for opportunity
ADI,17,78.74,0.1238,0.569,0.8,0.01,0.25,132.24,71.04,44.78,51.5,28.55,WATCH - Monitor for opportunity
FCN,17,64.86,-0.0263,0.535,0.18,0.003,0.06,328.12,47.03,34.71,33.56,28.53,WATCH - Monitor for opportunity
ASML,17,87.45,0.1506,0.551,0.99,0.011,0.06,39.41,66.63,48.14,56.8,28.48,WATCH - Monitor for opportunity
EXTR,17,70.74,0.1121,0.604,0.71,0.01,0.12,232.35,69.63,42.75,48.58,28.47,WATCH - Monitor for opportunity
BLK,17,80.72,0.1515,0.587,0.97,0.012,0.25,111.18,71.42,47.41,55.99,28.44,WATCH - Monitor for opportunity
THC,17,55.35,0.1064,0.727,0.61,0.011,0.5,502.88,80.7,40.23,45.45,28.21,WATCH - Monitor for opportunity
CBRE,17,54.7,0.0839,0.696,0.49,0.009,0.31,513.18,76.24,38.09,42.03,28.16,WATCH - Monitor for opportunity
FSS,17,69.8,0.1277,0.625,0.79,0.011,0.38,244.41,75.12,43.62,50.36,28.11,WATCH - Monitor for opportunity
ALV,17,51.23,0.1489,0.835,0.8,0.016,0.62,567.24,86.0,42.8,50.42,28.04,WATCH - Monitor for opportunity
LOGI,17,79.33,0.1408,0.575,0.91,0.011,0.44,124.94,74.87,45.65,53.36,27.95,WATCH - Monitor for opportunity
SYK,17,71.84,0.123,0.601,0.78,0.011,0.0,219.06,66.96,43.19,49.63,27.93,WATCH - Monitor for opportunity
AMAT,17,79.8,0.2569,0.687,1.52,0.019,0.38,120.35,76.19,54.79,70.31,27.91,WATCH - Monitor for opportunity
MMM,17,67.97,0.1009,0.599,0.64,0.009,0.12,275.59,69.51,40.68,45.71,27.89,WATCH - Monitor for opportunity
